2026-03-16 09:20:35 install passwd:arm64 <none> 1:4.13+dfsg1-1+deb12u2
2026-03-16 09:20:35 status half-installed passwd:arm64 1:4.13+dfsg1-1+deb12u2
2026-03-16 09:20:35 status unpacked passwd:arm64 1:4.13+dfsg1-1+deb12u2
2026-03-16 09:20:35 upgrade perl-base:arm64 5.36.0-7+deb12u3 5.36.0-7+deb12u3
2026-03-16 09:20:35 status half-configured perl-base:arm64 5.36.0-7+deb12u3
2026-03-16 09:20:35 status unpacked perl-base:arm64 5.36.0-7+deb12u3
2026-03-16 09:20:35 status half-installed perl-base:arm64 5.36.0-7+deb12u3
2026-03-16 09:20:36 status unpacked perl-base:arm64 5.36.0-7+deb12u3
2026-03-16 09:20:36 install sed:arm64 <none> 4.9-1
2026-03-16 09:20:36 status half-installed sed:arm64 4.9-1
2026-03-16 09:20:37 status unpacked sed:arm64 4.9-1
2026-03-16 09:20:37 install sysvinit-utils:arm64 <none> 3.06-4
2026-03-16 09:20:37 status half-installed sysvinit-utils:arm64 3.06-4
2026-03-16 09:20:37 status unpacked sysvinit-utils:arm64 3.06-4
2026-03-16 09:20:37 install tar:arm64 <none> 1.34+dfsg-1.2+deb12u1
2026-03-16 09:20:37 status half-installed tar:arm64 1.34+dfsg-1.2+deb12u1
2026-03-16 09:20:37 status unpacked tar:arm64 1.34+dfsg-1.2+deb12u1
2026-03-16 09:20:37 install tzdata:all <none> 2025b-0+deb12u2
2026-03-16 09:20:37 status half-installed tzdata:all 2025b-0+deb12u2
2026-03-16 09:20:39 status unpacked tzdata:all 2025b-0+deb12u2
2026-03-16 09:20:39 install usr-is-merged:all <none> 37~deb12u1
2026-03-16 09:20:39 status half-installed usr-is-merged:all 37~deb12u1
2026-03-16 09:20:39 status unpacked usr-is-merged:all 37~deb12u1
2026-03-16 09:20:39 install util-linux:arm64 <none> 2.38.1-5+deb12u3
2026-03-16 09:20:39 status half-installed util-linux:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:40 status unpacked util-linux:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:40 install util-linux-extra:arm64 <none> 2.38.1-5+deb12u3
2026-03-16 09:20:40 status half-installed util-linux-extra:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:40 status unpacked util-linux-extra:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:40 install zlib1g:arm64 <none> 1:1.2.13.dfsg-1
2026-03-16 09:20:40 status half-installed zlib1g:arm64 1:1.2.13.dfsg-1
2026-03-16 09:20:40 status unpacked zlib1g:arm64 1:1.2.13.dfsg-1
2026-03-16 09:20:40 startup packages configure
2026-03-16 09:20:40 configure debian-archive-keyring:all 2023.3+deb12u2 <none>
2026-03-16 09:20:40 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2026-03-16 09:20:40 status half-configured debian-archive-keyring:all 2023.3+deb12u2
2026-03-16 09:20:42 status installed debian-archive-keyring:all 2023.3+deb12u2
2026-03-16 09:20:42 configure usr-is-merged:all 37~deb12u1 <none>
2026-03-16 09:20:42 status unpacked usr-is-merged:all 37~deb12u1
2026-03-16 09:20:42 status half-configured usr-is-merged:all 37~deb12u1
2026-03-16 09:20:42 status installed usr-is-merged:all 37~deb12u1
2026-03-16 09:20:42 configure libaudit-common:all 1:3.0.9-1 <none>
2026-03-16 09:20:42 status unpacked libaudit-common:all 1:3.0.9-1
2026-03-16 09:20:42 status half-configured libaudit-common:all 1:3.0.9-1
2026-03-16 09:20:42 status installed libaudit-common:all 1:3.0.9-1
2026-03-16 09:20:42 configure libsemanage-common:all 3.4-1 <none>
2026-03-16 09:20:42 status unpacked libsemanage-common:all 3.4-1
2026-03-16 09:20:42 status half-configured libsemanage-common:all 3.4-1
2026-03-16 09:20:42 status installed libsemanage-common:all 3.4-1
2026-03-16 09:20:42 configure debconf:all 1.5.82 <none>
2026-03-16 09:20:42 status unpacked debconf:all 1.5.82
2026-03-16 09:20:42 status half-configured debconf:all 1.5.82
2026-03-16 09:20:43 status installed debconf:all 1.5.82
2026-03-16 09:20:43 configure gcc-12-base:arm64 12.2.0-14+deb12u1 <none>
2026-03-16 09:20:43 status unpacked gcc-12-base:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:43 status half-configured gcc-12-base:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:43 status installed gcc-12-base:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:43 configure tzdata:all 2025b-0+deb12u2 <none>
2026-03-16 09:20:43 status unpacked tzdata:all 2025b-0+deb12u2
2026-03-16 09:20:43 status half-configured tzdata:all 2025b-0+deb12u2
2026-03-16 09:20:45 status installed tzdata:all 2025b-0+deb12u2
2026-03-16 09:20:45 configure ncurses-base:all 6.4-4 <none>
2026-03-16 09:20:45 status unpacked ncurses-base:all 6.4-4
2026-03-16 09:20:45 status half-configured ncurses-base:all 6.4-4
2026-03-16 09:20:45 status installed ncurses-base:all 6.4-4
2026-03-16 09:20:45 configure init-system-helpers:all 1.65.2+deb12u1 <none>
2026-03-16 09:20:45 status unpacked init-system-helpers:all 1.65.2+deb12u1
2026-03-16 09:20:45 status half-configured init-system-helpers:all 1.65.2+deb12u1
2026-03-16 09:20:45 status installed init-system-helpers:all 1.65.2+deb12u1
2026-03-16 09:20:45 configure libgcc-s1:arm64 12.2.0-14+deb12u1 <none>
2026-03-16 09:20:45 status unpacked libgcc-s1:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:45 status half-configured libgcc-s1:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:45 status installed libgcc-s1:arm64 12.2.0-14+deb12u1
2026-03-16 09:20:45 configure libc6:arm64 2.36-9+deb12u13 <none>
2026-03-16 09:20:45 status unpacked libc6:arm64 2.36-9+deb12u13
2026-03-16 09:20:45 status half-configured libc6:arm64 2.36-9+deb12u13
